Magadino-Cadenazzo
Messstation Nr.:  11
MM10               vom 01.01.2022  00:10 Uhr
                   bis 31.12.2022  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  Grad      18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2022 01 02 01 30    208.00      0.80
2022 01 02 01 40    326.00      1.00
2022 01 02 01 50     55.00      0.90
2022 01 02 02 00    110.00      0.50
2022 01 02 02 10     99.00      0.60
2022 01 02 02 20     91.00      1.00
2022 01 02 02 30     84.00      1.20
2022 01 02 02 40     71.00      1.20
2022 01 02 02 50     30.00      0.30
2022 01 02 03 00    164.00      0.30
2022 01 02 03 10    209.00      0.40
2022 01 02 03 20    310.00      0.60
2022 01 02 03 30    354.00      0.70
2022 01 02 03 40    312.00      0.30
2022 01 02 03 50    240.00      0.20
2022 01 02 04 00    118.00      0.80
2022 01 02 04 10    122.00      1.20
2022 01 02 04 20    102.00      0.80
2022 01 02 04 30     44.00      1.10
2022 01 02 04 40     27.00      0.30
2022 01 02 04 50    263.00      0.80
2022 01 02 05 00    325.00      0.20
2022 01 02 05 10    112.00      0.90
2022 01 02 05 20     86.00      0.90
2022 01 02 05 30     42.00      0.60
2022 01 02 05 40     63.00      0.40
2022 01 02 05 50    138.00      0.60
2022 01 02 06 00     67.00      0.40
2022 01 02 06 10     38.00      0.10
2022 01 02 06 20     72.00      0.30
2022 01 02 06 30     78.00      0.30
2022 01 02 06 40     61.00      0.30
2022 01 02 06 50     88.00      0.90
2022 01 02 07 00     73.00      1.20
2022 01 02 07 10     22.00      0.30
2022 01 02 07 20     18.00      0.30
2022 01 02 07 30     58.00      0.50
2022 01 02 07 40    128.00      0.80
2022 01 02 07 50     32.00      0.50
2022 01 02 08 00    349.00      0.50
2022 01 02 08 10    201.00      0.40
2022 01 02 08 20     83.00      0.90
2022 01 02 08 30    311.00      0.50
2022 01 02 08 40    157.00      0.60
2022 01 02 08 50     20.00      0.90
2022 01 02 09 00    171.00      0.80
