Lausanne-César-Roux
Messstation Nr.:   9
MM10               vom 01.01.2022  00:10 Uhr
                   bis 31.12.2022  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  Grad      18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2022 01 02 01 30     75.77      1.25
2022 01 02 01 40    265.58      0.86
2022 01 02 01 50    311.02      0.93
2022 01 02 02 00    296.73      0.72
2022 01 02 02 10    336.96      0.55
2022 01 02 02 20    131.18      0.47
2022 01 02 02 30    136.14      0.40
2022 01 02 02 40    298.87      0.74
2022 01 02 02 50    352.29      0.59
2022 01 02 03 00     16.98      0.20
2022 01 02 03 10     92.47      0.33
2022 01 02 03 20    102.55      0.66
2022 01 02 03 30     95.10      0.93
2022 01 02 03 40    142.26      0.62
2022 01 02 03 50    140.81      0.49
2022 01 02 04 00    290.27      0.89
2022 01 02 04 10    323.82      0.58
2022 01 02 04 20     36.22      0.71
2022 01 02 04 30     80.59      1.17
2022 01 02 04 40     89.81      1.13
2022 01 02 04 50    159.52      0.36
2022 01 02 05 00     97.50      0.75
2022 01 02 05 10    112.00      0.81
2022 01 02 05 20    266.68      0.62
2022 01 02 05 30    312.49      0.47
2022 01 02 05 40     94.73      0.78
2022 01 02 05 50    272.52      0.89
2022 01 02 06 00    275.54      0.69
2022 01 02 06 10    295.33      0.40
2022 01 02 06 20    109.69      0.57
2022 01 02 06 30    126.73      0.73
2022 01 02 06 40     80.41      1.31
2022 01 02 06 50     87.35      1.63
2022 01 02 07 00    236.21      0.69
2022 01 02 07 10    266.52      1.00
2022 01 02 07 20    326.04      0.62
2022 01 02 07 30     90.55      0.69
2022 01 02 07 40    121.06      0.97
2022 01 02 07 50    133.61      0.61
2022 01 02 08 00    119.43      1.11
2022 01 02 08 10     88.92      1.48
2022 01 02 08 20    274.36      0.45
2022 01 02 08 30     98.51      1.20
2022 01 02 08 40     81.38      1.96
2022 01 02 08 50     91.35      1.36
2022 01 02 09 00    118.83      1.65
2022 01 02 09 10    271.81      1.00
2022 01 02 09 20    273.44      1.04
2022 01 02 09 30     90.85      1.41
2022 01 02 09 40     98.47      1.27
2022 01 02 09 50    177.90      0.69
2022 01 02 10 00    121.72      1.35
2022 01 02 10 10    113.29      0.83
2022 01 02 10 20    125.52      0.93
2022 01 02 10 30    121.13      1.26
2022 01 02 10 40    119.56      1.83
2022 01 02 10 50    122.41      2.30
2022 01 02 11 00    124.36      0.90
2022 01 02 11 10    156.84      0.59
2022 01 02 11 20    139.35      1.03
2022 01 02 11 30    116.05      1.08
2022 01 02 11 40    117.41      0.86
2022 01 02 11 50    121.57      0.69
